PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,2001,101.6,101.72,100.8,101.11,101.36,101.34,101.25,101.37,101.15,101.97,101.8,102.01,101.46
PS,2002,102.64,101.69,101.65,101.26,101.28,101.42,101.17,101.14,101.39,101.37,101.11,101.65,101.48
PS,2003,101.38,102.05,102.18,101.5,101.59,101.35,101.3,101.36,101.83,101.23,101.86,101.89,101.62
PS,2004,101.14,101.77,101.95,101.17,101.22,101.43,101.38,101.21,101.76,101.43,101.68,101.82,101.49
PS,2005,102.03,101.46,101.55,101.38,101.43,101.53,101.2,101.29,101.63,102.07,101.68,101.55,101.57
PS,2006,102.34,101.32,101.07,101.21,101.5,101.68,101.61,100.95,101.5,101.64,101.97,102.6,101.62
PS,2007,101.97,101.29,101.32,101.73,100.98,101.09,101.18,101.19,101.58,101.93,101.63,102.21,101.51
PS,2008,102.18,102.69,100.64,100.95,101.35,101.29,101.22,101.19,101.48,101.7,101.46,101.69,101.48
PS,2009,101.37,101.16,101.12,101.28,101.62,101.19,101.33,101.46,101.64,101.5,101.34,100.82,101.32
PS,2010,101.22,100.56,101.62,101.6,100.97,101.09,101.32,101.21,101.29,101.41,100.71,101.11,101.18
PS,2011,101.93,101.7,102.06,101.55,101.62,101.35,100.94,101.28,101.49,101.96,102.26,101.67,101.65
PS,2012,101.99,102.03,102.25,100.65,101.38,101.22,101.18,101.4,101.39,101.23,101.38,101.47,101.46
PS,2013,101.18,101.1,100.66,101.38,100.92,101.38,101.55,101.42,101.34,101.81,101.25,102.31,101.36
PS,2014,101.17,101.2,101.45,101.15,101.3,101.36,101.13,101.2,101.52,101.7,101.37,101.79,101.36
PS,2015,101.62,101.4,101.8,101.8,101.35,101.57,101.28,101.37,101.48,101.61,101.95,103.02,101.69
PS,2016,101.56,101.25,101.19,101.15,101.17,101.2,101.4,101.64,101.62,101.85,101.63,102.84,101.54
PS,2017,102.15,101.89,101.65,101.56,101.5,101.29,101.29,101.46,101.38,101.91,101.5,101.67,101.6
PS,2018,101.7,101.31,100.5,101.43,101.23,101.21,101.19,101.36,101.8,101.64,101.76,102.02,101.43
PS,2019,101.21,102.21,101.79,101.26,101.1,101.43,101.14,101.41,101.62,101.63,100.66,101.58,101.42
PS,2020,102.56,101.83,101.6,101.64,101.57,101.04,101.36,101.11,101.41,101.35,102.42,101.05,101.58
PS,2021,101.07,101.98,101.98,101.57,101.24,101.46,101.15,101.22,101.68,101.93,101.38,101.47,101.51
PS,2022,102.22,101.9,102.34,101.19,101.55,101.33,101.5,101.21,101.13,102.05,101.46,101.6,101.63
