PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,2001,7.74,7.15,10.68,12.6,19.26,21.55,25.23,26.63,19.66,17.87,10.96,5.23,15.44
TS,2002,3.84,6.57,10.19,12.9,18.15,23.83,24.94,24.17,20.39,16.47,13.04,8.53,15.3
TS,2003,5.65,4.29,8.57,11.48,19.47,26.44,27.2,28.62,20.79,15.04,11.45,7.21,15.58
TS,2004,4.89,5.07,7.46,12.48,16.37,21.36,24.83,25.66,21.53,17.31,11.7,7.94,14.75
TS,2005,5,4.26,7.71,12.04,18.08,23.19,25.65,23.62,21.34,15.71,10.8,6.38,14.54
TS,2006,4.24,5,7.08,12.63,17.44,22.64,27.41,23.1,21.76,17.83,12.08,8.68,15.05
TS,2007,7.14,7.94,10.3,15.5,20.22,23.2,25.94,24.62,20.3,15.47,9.68,6.46,15.61
TS,2008,6.37,6.16,8.62,12.63,18.3,22.76,25.33,25.77,20.75,16.7,11.45,7.3,15.21
TS,2009,5.24,5.83,8.69,14.02,19.69,21.98,25.4,26.87,22.35,16.58,11.55,7.07,15.5
TS,2010,4.81,5.73,8.01,13.16,17.66,22.55,26.48,24.53,20.13,15.06,11.08,5.93,14.64
TS,2011,4.84,5.87,8.48,14.23,18.89,22.7,24.76,26.34,23.91,16.15,10.68,7.26,15.39
TS,2012,4.94,3.72,10.14,12.77,18.4,24,27.15,27.82,21.63,17.09,12.53,6.42,15.59
TS,2013,5.7,5.29,7.8,13.01,17.21,22.03,26.05,25.79,21.61,16.65,11.93,7.56,15.11
TS,2014,7.73,8.58,10.77,14.73,18.08,23.05,24.22,23.55,20.15,17.55,13,8.4,15.86
TS,2015,6.1,6.07,8.82,12.76,18.57,23.29,27.9,26.1,21.51,15.69,11.01,7.69,15.51
TS,2016,5.46,7.62,9.04,13.74,17.28,22.06,25.87,24.65,22.55,15.84,11.48,6.94,15.23
TS,2017,4.02,6.5,10.46,14.15,18.54,24.44,26.26,26.84,20.23,16.04,11.13,6.74,15.5
TS,2018,7,5.48,7.39,15.08,20.07,24.03,26.55,27.36,22.84,17.65,12.62,6.83,16.13
TS,2019,4.73,6.83,9.94,13.53,15.87,24.34,26.19,26.19,21.8,17.77,13.08,8.17,15.75
TS,2020,6.36,7.76,9.56,13.72,18.74,22.76,26.03,26.65,22.65,15.85,11.23,8.34,15.83
