PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,2001,101.6,101.72,100.8,101.11,101.36,101.34,101.25,101.37,101.15,101.97,101.8,102.01,101.46
PS,2002,102.64,101.69,101.65,101.26,101.28,101.42,101.17,101.14,101.39,101.37,101.11,101.65,101.48
PS,2003,101.38,102.05,102.18,101.5,101.59,101.35,101.3,101.36,101.83,101.23,101.86,101.89,101.62
PS,2004,101.14,101.77,101.95,101.17,101.22,101.43,101.38,101.21,101.76,101.43,101.68,101.82,101.49
PS,2005,102.03,101.46,101.55,101.38,101.43,101.53,101.2,101.29,101.63,102.07,101.68,101.55,101.57
PS,2006,102.34,101.32,101.07,101.21,101.5,101.68,101.61,100.95,101.5,101.64,101.97,102.6,101.62
PS,2007,101.97,101.29,101.32,101.73,100.98,101.09,101.18,101.19,101.58,101.93,101.63,102.21,101.51
PS,2008,102.18,102.69,100.64,100.95,101.35,101.29,101.22,101.19,101.48,101.7,101.46,101.69,101.48
PS,2009,101.37,101.16,101.12,101.28,101.62,101.19,101.33,101.46,101.64,101.5,101.34,100.82,101.32
PS,2010,101.22,100.56,101.62,101.6,100.97,101.09,101.32,101.21,101.29,101.41,100.71,101.11,101.18
PS,2011,101.93,101.7,102.06,101.55,101.62,101.35,100.94,101.28,101.49,101.96,102.26,101.67,101.65
PS,2012,101.99,102.03,102.25,100.65,101.38,101.22,101.18,101.4,101.39,101.23,101.38,101.47,101.46
PS,2013,101.18,101.1,100.66,101.38,100.92,101.38,101.55,101.42,101.34,101.81,101.25,102.31,101.36
PS,2014,101.17,101.2,101.45,101.15,101.3,101.36,101.13,101.2,101.52,101.7,101.37,101.79,101.36
PS,2015,101.62,101.4,101.8,101.8,101.35,101.57,101.28,101.37,101.48,101.61,101.95,103.02,101.69
PS,2016,101.56,101.25,101.19,101.15,101.17,101.2,101.4,101.64,101.62,101.85,101.63,102.84,101.54
PS,2017,102.15,101.89,101.65,101.56,101.5,101.29,101.29,101.46,101.38,101.91,101.5,101.67,101.6
PS,2018,101.7,101.31,100.5,101.43,101.23,101.21,101.19,101.36,101.8,101.64,101.76,102.02,101.43
PS,2019,101.21,102.21,101.79,101.26,101.1,101.43,101.14,101.41,101.62,101.63,100.66,101.58,101.42
PS,2020,102.56,101.83,101.6,101.64,101.57,101.04,101.36,101.11,101.41,101.35,102.42,101.05,101.58
PS,2021,101.07,101.98,101.98,101.57,101.24,101.46,101.15,101.22,101.68,101.93,101.38,101.47,101.51
PS,2022,102.22,101.9,102.34,101.19,101.55,101.33,101.5,101.21,101.13,102.05,101.46,101.6,101.63
WD2M,2001,52.69,64.38,126.31,115.75,97.69,117.5,130,101.44,124.44,125.12,51.88,57.5,85.94
WD2M,2002,67.81,60.12,78.12,77.88,112.75,127.25,106.31,100.94,82.81,110.44,133.25,61.25,89.44
WD2M,2003,58.88,67,103.62,72.31,95.5,117.38,108.75,118.81,86.56,80,65.94,46.56,78.75
WD2M,2004,47.88,45.81,67.94,78.81,149.94,90.81,104,135.56,90.25,111.94,48.56,54.06,76.19
WD2M,2005,29.25,57.06,85.56,106.38,95,118.44,102.94,92.25,85.5,67.88,41.56,33.81,72.06
WD2M,2006,57.19,64.5,77.81,75.25,97.69,96.06,105.56,58.81,89.62,121.62,311.5,50.12,74
WD2M,2007,310,24.81,68.81,93,129.12,143.44,128.38,101.62,94.81,63.25,46.88,53.31,78.06
WD2M,2008,51.75,80.44,66,164.62,106.81,104.56,100.12,106.5,86.94,143.81,57.88,55.81,85.25
WD2M,2009,62.62,40.69,73.69,80,114.56,104.81,99.88,98.94,79.31,68,40.31,45.38,74.56
WD2M,2010,46.06,55.38,67.88,83.06,167.69,122,107.62,113.31,87.06,76.44,108.56,22.69,76.44
WD2M,2011,44.31,77.88,87.81,82.38,99,108,122.44,118.38,89.31,68.81,68.69,358.12,80.5
WD2M,2012,26.5,57.31,86.94,124.81,128,140.75,98.12,106.31,84.62,78.12,73.75,15.44,76.94
WD2M,2013,42.25,57.12,68.38,95.31,136.75,130.38,102.88,80.94,118.5,91.06,52.25,60.44,75.94
